Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
1,"PNEUMONIA, TUBERCULOUS","An acute or chronic disease marked by inflammation of the lungs and caused by by mycobacterium tuberculosis. NOTE: Needs merging with Pulmonary TB 113492. ","PNEUMONIE, TUBERCULEUSE
PNEUMONIA, TUBERCULOUS
PULMONARY TB
pulmonary tuberculosis
tuberculosis activa
PTB
mycobacterium tuberculosis, pulmonary
TB PNEUMONIA","YES","","Diagnosis","Coded","Strategic Information","eHealth System Developer"
2,"POSITIVE","General finding of a positive result.","POSITIF
????? ???? ???? ?? ????
POSITIVE","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
3,"scanty","Qualifier value for the quantity.","scanty
MINIMES","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
4,"THREE PLUS","Three plus result (scale + - ++++)","+++
FORTEMENT POSITIF
+++
strongly positive
THREE PLUS","","","Finding","Boolean","eHealth System Developer","eHealth System Developer"
5,"TWO PLUS","Two plus result (scale of + - ++++)","MOD?R?MENT POSITIF
TWO PLUS
++
++
moderately positive","","","Finding","Boolean","eHealth System Developer","eHealth System Developer"
6,"contaminated specimen","General finding of a contaminated specimen. ","CONTAMIN?
contaminated specimen","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
7,"ONE PLUS","One plus result (on scale of + - ++++)","ONE PLUS
+
+
FAIBLEMENT POSITIF
weakly positive","","","Finding","Boolean","eHealth System Developer","eHealth System Developer"
8,"NEGATIVE","Response to a finding or test result.","N?GATIF
NEGATIVE","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
9,"Sputum AFB","Ziehl Nielsen stain for tuberculosis, performed on a deep sputum sample from the respiratory tract.","Crachat BAAR
SPUTUM FOR ACID FAST BACILLI
SPUTUM FOR AFB
Sputum AFB
AFB SMEAR SPUTUM
ZN STAIN
ZIEHL NIELSEN STAIN","POSITIVE
scanty
THREE PLUS
TWO PLUS
contaminated specimen
ONE PLUS
NEGATIVE","","Test","Coded","eHealth System Developer","eHealth System Developer"
10,"AMOXICILLIN AND CLAVULANIC ACID","A preparation of amoxicillin and the potassium salt of clavulanic acid to overcome beta-lactam resistance.","AMX/CLV
AUGMENTIN
AUGMENTIN SYRUP
AMOXICILLIN AND CLAVULANIC ACID","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
11,"RIFAMPICIN","Semisynthetic antibiotic often used in tuberculosis, leprosy and meningococcal treatment/prophylaxis.  Also commonly known as Rifampin.","R
Rifadin
Rimactane
RIFAMPICIN
Rifadin IV
RIFAMPIN","300mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
12,"SPUTUM","Matter coughed up and usually ejected from the mouth, including saliva, foreign material, and substances such as mucus or phlegm, from the respiratory tract.","SPUTUM","","","Specimen","N/A","eHealth System Developer","eHealth System Developer"
